id,parent_id,WILAYAH,length,,,
3215,,KAB. KARAWANG,4,,,
321501,3215,KARAWANG BARAT,6,,,
3215011001,321501,KARAWANG KULON,10,,,
3215011003,321501,ADIARSA BARAT,10,,,
3215011005,321501,TANJUNGPURA,10,,,
3215011006,321501,TANJUNGMEKAR,10,,,
3215011007,321501,TUNGGAKJATI,10,,,
3215011010,321501,KARANGPAWITAN,10,,,
3215011011,321501,NAGASARI,10,,,
3215011012,321501,MEKARJATI,10,,,
321502,3215,PANGKALAN,6,,,
3215022001,321502,CIPTASARI,10,,,
3215022002,321502,TAMANMEKAR,10,,,
3215022003,321502,TAMANSARI,10,,,
3215022004,321502,JATILAKSANA,10,,,
3215022005,321502,CINTAASIH,10,,,
3215022006,321502,KERTASARI,10,,,
3215022007,321502,MULANGSARI,10,,,
3215022008,321502,MEDALSARI,10,,,
321503,3215,TELUKJAMBE TIMUR,6,,,
3215032001,321503,TELUKJAMBE,10,,,
3215032002,321503,SUKAHARJA,10,,,
3215032003,321503,SIRNABAYA,10,,,
3215032004,321503,PUSEURJAYA,10,,,
3215032005,321503,SUKALUYU,10,,,
3215032006,321503,WADAS,10,,,
3215032011,321503,PURWADANA,10,,,
3215032012,321503,SUKAMAKMUR,10,,,
3215032019,321503,PINAYUNGAN,10,,,
321504,3215,CIAMPEL,6,,,
3215042001,321504,KUTAPOHACI,10,,,
3215042003,321504,PARUNGMULYA,10,,,
3215042004,321504,KUTAMEKAR,10,,,
3215042005,321504,KUTANEGARA,10,,,
3215042006,321504,MULYASARI,10,,,
3215042007,321504,MULYASEJATI,10,,,
3215042008,321504,TEGALLEGA,10,,,
321505,3215,KLARI,6,,,
3215052001,321505,DUREN,10,,,
3215052002,321505,PANCAWATI,10,,,
3215052003,321505,WALAHAR,10,,,
3215052004,321505,KIARAPAYUNG,10,,,
3215052005,321505,SUMURKONDANG,10,,,
3215052006,321505,CIBALONGSARI,10,,,
3215052007,321505,KLARI,10,,,
3215052008,321505,BELENDUNG,10,,,
3215052016,321505,ANGGADITA,10,,,
3215052017,321505,GINTUNGKERTA,10,,,
3215052018,321505,CURUG,10,,,
3215052019,321505,KARANGANYAR,10,,,
3215052020,321505,CIMAHI,10,,,
321506,3215,RENGASDENGKLOK,6,,,
3215062001,321506,RENGASDENGKLOK SELATAN,10,,,
3215062002,321506,RENGASDENGKLOK UTARA,10,,,
3215062003,321506,KERTASARI,10,,,
3215062004,321506,DEWISARI,10,,,
3215062005,321506,AMANSARI,10,,,
3215062006,321506,KARYASARI,10,,,
3215062007,321506,DUKUHKARYA,10,,,
3215062008,321506,KALANGSARI,10,,,
3215062009,321506,KALANGSURYA,10,,,
321507,3215,KUTAWALUYA,6,,,
3215072001,321507,WALUYA,10,,,
3215072002,321507,MULYAJAYA,10,,,
3215072003,321507,KUTAKARYA,10,,,
3215072004,321507,KUTAGANDOK,10,,,
3215072005,321507,KUTAMUKTI,10,,,
3215072006,321507,KUTAJAYA,10,,,
3215072007,321507,SAMPALAN,10,,,
3215072008,321507,SINDANGMULYA,10,,,
3215072009,321507,SINDANGMUKTI,10,,,
3215072010,321507,KUTARAJA,10,,,
3215072011,321507,SINDANGSARI,10,,,
3215072012,321507,SINDANGKARYA,10,,,
321508,3215,BATUJAYA,6,,,
3215082001,321508,BATUJAYA,10,,,
3215082002,321508,TELUKAMBULU,10,,,
3215082003,321508,TELUKBANGO,10,,,
3215082004,321508,KARYABHAKTI,10,,,
3215082005,321508,BATURADEN,10,,,
3215082006,321508,SEGARAN,10,,,
3215082007,321508,SEGARJAYA,10,,,
3215082008,321508,KUTAAMPEL,10,,,
3215082009,321508,KARYAMULYA,10,,,
3215082010,321508,KARYAMAKMUR,10,,,
321509,3215,TIRTAJAYA,6,,,
3215092001,321509,SABAJAYA,10,,,
